Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Type
Eschschloraque,eschschloraque,63ac68190f44f700e16ae0f8,63ebf043d6635b3c5d0247ac,2023-02-14 20:34:11,2023-02-14 20:34:11,2023-02-14 20:34:11,Bar/Restaurant/Small venue
Festsaal Kreuzberg,festsaal-kreuzberg,63ac68190f44f700e16ae0f8,63e5098b6acd847fe79faf02,2023-02-09 14:56:11,2023-02-09 14:56:11,2023-02-09 14:56:11,Large club/venue
Ficken 3000,ficken-3000,63ac68190f44f700e16ae0f8,63c485579bcbb4e1948fca94,2023-01-15 22:59:35,2023-01-15 22:59:35,2023-01-15 23:07:46,Bar/Restaurant/Small venue
Filmkunstbar Fitzcarraldo,filmkunstbar-fitzcarraldo,63ac68190f44f700e16ae0f8,641dcfcdc3401d7d06f1ddcd,2023-03-24 16:29:01,2023-03-24 16:29:01,2023-03-24 16:29:01,Bar/Restaurant/Small venue
Fitzroy,fitzroy,63ac68190f44f700e16ae0f8,63c486f8d3f669387e6ffb19,2023-01-15 23:06:32,2023-01-15 23:06:32,2023-01-15 23:07:46,Bar/Restaurant/Small venue
Floathouse Studio Ship,floathouse-studio-ship,63ac68190f44f700e16ae0f8,644fb6d7a9dbd96a3afbc2d2,2023-05-01 12:55:51,2023-05-01 12:55:51,2023-05-01 12:55:51,Bar/Restaurant/Small venue
Fourth Moon,fourth-moon,63ac68190f44f700e16ae0f8,6407673220436a264be1472b,2023-03-07 16:32:50,2023-03-08 11:01:03,2023-03-08 15:34:06,Bar/Restaurant/Small venue
Frannz Club,frannz-club,63ac68190f44f700e16ae0f8,63f8f2212e22fb5d46d3e2b4,2023-02-24 17:21:37,2023-02-24 17:21:37,2023-02-24 17:21:37,Large club/venue
Freiheit 15,freiheit-15,63ac68190f44f700e16ae0f8,640a1f2a01a9a95bdc9ff164,2023-03-09 18:02:18,2023-03-09 18:02:18,2023-03-09 18:02:18,Bar/Restaurant/Small venue
Funkhaus Berlin,funkhaus-berlin,63ac68190f44f700e16ae0f8,647f54b75e02e4034ec12219,2023-06-06 15:45:59,2023-06-06 15:45:59,2023-06-06 15:45:59,Mid-size club/venue
gART.n,gart-n,63ac68190f44f700e16ae0f8,647f4c5e7fd9f9fcf9c1166b,2023-06-06 15:10:22,2023-06-06 15:10:22,2023-06-06 15:10:22,Mid-size club/venue
Gelegenheiten,gelegenheiten,63ac68190f44f700e16ae0f8,6410bb143cbc21a1888615d5,2023-03-14 18:21:08,2023-03-14 18:21:15,2023-03-14 18:24:02,Bar/Restaurant/Small venue
Georg von Rauch-Haus/Mariannenpl. 1A,georg-von-rauch-haus-mariannenpl-1a,63ac68190f44f700e16ae0f8,640a479afb905000eb34dea3,2023-03-09 20:54:50,2023-03-09 20:54:50,2023-03-09 20:54:50,Large club/venue
Georgia Bar,georgia-bar,63ac68190f44f700e16ae0f8,647f5372d9008b413d8e8953,2023-06-06 15:40:34,2023-06-06 15:40:34,2023-06-06 15:40:34,Bar/Restaurant/Small venue
Gestrandet An Der Jannowitzbrücke,gestrandet-an-der-jannowitzbrucke,63ac68190f44f700e16ae0f8,644fb7a2a0033d4d731ca691,2023-05-01 12:59:14,2023-05-01 12:59:14,2023-05-01 12:59:14,Bar/Restaurant/Small venue
Golden Gate,golden-gate,63ac68190f44f700e16ae0f8,63bf4c3cc655e1b9b60f7b6e,2023-01-11 23:54:36,2023-03-30 15:54:22,2023-03-30 15:54:32,Large club/venue
Golgathakirche,golgathakirche,63ac68190f44f700e16ae0f8,646230815267c65890828450,2023-05-15 13:15:45,2023-05-15 13:15:45,2023-05-15 13:15:45,Mid-size club/venue
Gretchen,gretchen,63ac68190f44f700e16ae0f8,63d0247552d6af9013cf650c,2023-01-24 18:33:25,2023-01-24 18:33:25,2023-01-24 18:33:25,Large club/venue
Hafenbar Berlin,hafenbar-berlin,63ac68190f44f700e16ae0f8,641ded3b9d62d607f538c272,2023-03-24 18:34:35,2023-03-24 18:34:35,2023-03-24 18:34:35,Bar/Restaurant/Small venue
Hard Rock Cafe,hard-rock-cafe,63ac68190f44f700e16ae0f8,64245d578d480100939869bd,2023-03-29 15:46:31,2023-03-29 15:46:31,2023-03-29 15:46:31,Bar/Restaurant/Small venue
Haubentaucher,haubentaucher,63ac68190f44f700e16ae0f8,640a4a69f7aeb257ce14c52d,2023-03-09 21:06:49,2023-03-09 21:06:49,2023-03-09 21:06:49,Bar/Restaurant/Small venue
Haus der Indonesischen Kulturen,haus-der-indonesischen-kulturen,63ac68190f44f700e16ae0f8,63db99c061879379eee797a4,2023-02-02 11:08:48,2023-02-02 11:08:48,2023-02-02 11:08:48,Large club/venue
Haus des Rundfunks,haus-des-rundfunks,63ac68190f44f700e16ae0f8,63db9e008fe06a7d75bdb184,2023-02-02 11:26:56,2023-02-02 11:26:56,2023-02-02 11:26:56,Large club/venue
Havanna,havanna,63ac68190f44f700e16ae0f8,6409af0012b4fe0ea3c33733,2023-03-09 10:03:44,2023-03-09 10:03:44,2023-03-09 10:03:44,Large club/venue
Heideglühen,heidegluhen,63ac68190f44f700e16ae0f8,63f53ab80792ce34e216d16b,2023-02-21 21:42:16,2023-02-21 21:42:16,2023-02-21 21:42:16,Large club/venue
Heimathafen,heimathafen,63ac68190f44f700e16ae0f8,63f790948aa42e583780e3a4,2023-02-23 16:13:08,2023-02-23 16:13:08,2023-02-23 16:13:08,Large club/venue
Hole 44,hole-44,63ac68190f44f700e16ae0f8,63f8f0f297febd1589a71e52,2023-02-24 17:16:34,2023-02-24 17:16:34,2023-02-24 17:16:34,Large club/venue
Hoppetosse,hoppetosse,63ac68190f44f700e16ae0f8,63c19a6038ee46ec6691ed26,2023-01-13 17:52:32,2023-03-30 15:58:51,2023-03-30 15:58:51,Mid-size club/venue
House of Gin,house-of-gin,63ac68190f44f700e16ae0f8,63cfc6ee11690024fa51619d,2023-01-24 11:54:22,2023-01-24 11:54:22,2023-01-24 11:54:22,Bar/Restaurant/Small venue
House of Weekend,house-of-weekend,63ac68190f44f700e16ae0f8,6409a67de1bc759356f8ed55,2023-03-09 09:27:25,2023-03-09 09:27:25,2023-03-09 09:27:25,Large club/venue
Humboldthain Club,humboldthain-club,63ac68190f44f700e16ae0f8,63c46cdf1c2178ca59cb8f66,2023-01-15 21:15:11,2023-03-30 15:58:31,2023-03-30 15:58:31,Mid-size club/venue
Huxley's Neue Welt,huxleys-neue-welt,63ac68190f44f700e16ae0f8,63f78e9f253716ea0061c15d,2023-02-23 16:04:47,2023-02-23 16:04:47,2023-02-23 16:04:47,Large club/venue
Insomnia,insomnia,63ac68190f44f700e16ae0f8,63c46e7374f934d9b6c3cd49,2023-01-15 21:21:55,2023-03-30 15:58:16,2023-03-30 15:58:16,Large club/venue
James June,james-june,63ac68190f44f700e16ae0f8,63d275dc09363445e3ce7643,2023-01-26 12:45:16,2023-01-26 12:45:16,2023-01-26 12:45:16,Large club/venue
Jockel Biergarten,jockel-biergarten,63ac68190f44f700e16ae0f8,644fb630ff19806e5f4fcc3c,2023-05-01 12:53:04,2023-05-01 12:53:04,2023-05-01 12:53:04,Bar/Restaurant/Small venue
Kammermusiksaal,kammermusiksaal,63ac68190f44f700e16ae0f8,6424600536e5ab3a8fe11db0,2023-03-29 15:57:57,2023-03-29 15:57:57,2023-03-29 15:57:57,Large club/venue
Kante/Kantine Kohlmann,kante-kantine-kohlmann,63ac68190f44f700e16ae0f8,644fb5b158c4d226c7e08ad0,2023-05-01 12:50:57,2023-05-01 12:50:57,2023-05-01 12:50:57,Bar/Restaurant/Small venue
Kantine am Berghain,kantine-am-berghain,63ac68190f44f700e16ae0f8,63dbb6436bd47b6bbb02f924,2023-02-02 13:10:27,2023-06-27 11:03:47,2023-06-27 11:03:47,Large club/venue
Kaos Berlin,kaos-berlin,63ac68190f44f700e16ae0f8,63c46db26a006277d72ed247,2023-01-15 21:18:42,2023-01-15 21:18:42,2023-01-15 21:18:42,
Kater Blau,kater-blau,63ac68190f44f700e16ae0f8,63c18b89c33dfc773c6a0a38,2023-01-13 16:49:13,2023-03-30 15:56:59,2023-03-30 15:56:59,Large club/venue
Kesselhaus,kesselhaus,63ac68190f44f700e16ae0f8,6436fa9924516617547e690c,2023-04-12 18:38:17,2023-04-12 18:38:17,2023-04-12 18:38:17,Large club/venue
Kit Kat Club,kit-kat-club,63ac68190f44f700e16ae0f8,63bd99104aa6ee7b681f22d8,2023-01-10 16:57:52,2023-03-30 15:50:02,2023-03-30 15:50:02,Large club/venue
Kitty Cheng Bar,kitty-cheng-bar,63ac68190f44f700e16ae0f8,6409aab6fe01edb31c586915,2023-03-09 09:45:26,2023-03-09 09:45:26,2023-03-09 09:45:26,Bar/Restaurant/Small venue
Klunkerkranich,klunkerkranich,63ac68190f44f700e16ae0f8,64005e1df1a4dec089fdae05,2023-03-02 08:28:13,2023-03-02 08:28:35,2023-03-02 08:28:35,Large club/venue
Kohlenquelle,kohlenquelle,63ac68190f44f700e16ae0f8,64245ed136e5aba1dfe10c06,2023-03-29 15:52:49,2023-03-29 15:52:49,2023-03-29 15:52:49,Bar/Restaurant/Small venue
Kolonnenstraße 27,kolonnenstrasse-27,63ac68190f44f700e16ae0f8,63c6db8d40bc6577816ef805,2023-01-17 17:31:57,2023-01-17 17:31:57,2023-01-17 17:31:57,Large club/venue
Konzerthaus Berlin,konzerthaus-berlin,63ac68190f44f700e16ae0f8,640a1c64fced1a6b5c1f4592,2023-03-09 17:50:28,2023-03-09 17:50:28,2023-03-09 17:50:28,Large club/venue
